Metric,Value
OOF threshold,0.33
True negatives,751.0
False positives,739.0
False negatives,62.0
True positives,365.0
Recall,0.8548009367681498
Specificity,0.5040268456375839
Precision,0.33061594202898553
NPV,0.923739237392374
F1,0.4768125408229915
F2,0.64900426742532
Balanced accuracy,0.6794138912028669
MCC,0.3021087634862301
ROC-AUC,0.7574524935950835
PR-AUC,0.46658241944145395
Brier score,0.18734478066787077
